iter	Passed	Remaining
401	18609	27682
402	18660	27642
403	18710	27602
404	18754	27552
405	18801	27507
406	18852	27468
407	18898	27421
408	18941	27370
409	18986	27322
410	19035	27279
411	19083	27235
412	19131	27191
413	19174	27140
414	19225	27100
415	19268	27049
416	19312	26999
417	19355	26949
418	19399	26900
419	19443	26849
420	19492	26807
421	19535	26757
422	19581	26710
423	19624	26659
424	19666	26608
425	19716	26566
426	19767	26526
427	19810	26475
428	19860	26434
429	19911	26393
430	19960	26350
431	20006	26304
432	20049	26254
433	20092	26203
434	20137	26155
435	20180	26105
436	20223	26054
437	20266	26004
438	20310	25954
439	20352	25903
440	20402	25862
441	20451	25819
442	20498	25774
443	20542	25724
444	20588	25677
445	20635	25632
446	20686	25591
447	20731	25544
448	20774	25493
449	20819	25446
450	20870	25406
451	20913	25355
452	20956	25305
453	21000	25255
454	21050	25213
455	21097	25168
456	21139	25117
457	21182	25067
458	21232	25025
459	21274	24974
460	21322	24929
461	21367	24882
462	21413	24836
463	21463	24794
464	21513	24751
465	21555	24701
466	21598	24651
467	21641	24601
468	21692	24559
469	21736	24510
470	21786	24469
471	21829	24419
472	21873	24370
473	21916	24320
474	21967	24280
475	22014	24234
476	22057	24184
477	22099	24134
478	22150	24092
479	22193	24043
480	22237	23994
481	22285	23950
482	22329	23900
483	22380	23859
484	22430	23818
485	22476	23770
486	22519	23721
487	22569	23679
488	22612	23629
489	22658	23583
490	22703	23535
491	22750	23490
492	22796	23443
493	22839	23394
494	22881	23344
495	22930	23300
496	22981	23258
497	23029	23214
498	23072	23164
499	23117	23117
500	23159	23066
501	23210	23025
502	23253	22975
503	23303	22933
504	23347	22884
505	23391	22837
506	23434	22787
507	23484	22745
508	23528	22696
509	23573	22649
510	23624	22607
511	23673	22563
512	23717	22515
513	23764	22470
514	23812	22424
515	23855	22376
516	23898	22327
517	23949	22284
518	23994	22237
519	24037	22188
520	24081	22139
521	24126	22093
522	24175	22049
523	24218	21999
524	24264	21953
525	24314	21910
526	24356	21860
527	24407	21819
528	24455	21773
529	24499	21726
530	24542	21676
531	24585	21627
532	24630	21580
533	24678	21535
534	24723	21488
535	24766	21439
536	24817	21397
537	24867	21354
538	24918	21312
539	24968	21269
540	25019	21227
541	25061	21177
542	25105	21129
543	25153	21084
544	25203	21041
545	25247	20993
546	25297	20950
547	25344	20904
548	25387	20856
549	25431	20807
550	25474	20759
551	25520	20711
552	25565	20665
553	25610	20618
554	25656	20571
555	25700	20523
556	25745	20476
557	25788	20427
558	25832	20379
559	25880	20334
560	25930	20291
561	25978	20246
562	26021	20197
563	26063	20148
564	26106	20099
565	26153	20054
566	26204	20011
567	26254	19968
568	26302	19923
569	26348	19877
570	26396	19832
571	26445	19787
572	26487	19738
573	26538	19695
574	26588	19652
575	26634	19606
576	26680	19559
577	26724	19511
578	26775	19468
579	26826	19425
580	26870	19377
581	26913	19329
582	26960	19283
583	27010	19240
584	27061	19197
585	27108	19151
586	27153	19104
587	27197	19056
588	27243	19010
589	27286	18961
590	27328	18912
591	27373	18865
592	27424	18822
593	27466	18773
594	27515	18728
595	27557	18680
596	27603	18633
597	27647	18585
598	27693	18539
599	27736	18491
600	27781	18443
601	27824	18395
602	27868	18347
603	27917	18303
604	27965	18258
605	28009	18210
606	28052	18162
607	28103	18119
608	28145	18070
609	28193	18025
610	28241	17980
611	28284	17932
612	28327	17883
613	28370	17835
614	28417	17789
615	28460	17741
616	28511	17698
617	28562	17655
618	28612	17611
619	28655	17562
620	28706	17519
621	28752	17473
622	28802	17429
623	28848	17383
624	28891	17334
625	28936	17288
626	28979	17240
627	29023	17192
628	29068	17145
629	29120	17102
630	29163	17054
631	29207	17006
632	29257	16963
633	29304	16916
634	29347	16869
635	29395	16823
636	29443	16778
637	29488	16731
638	29539	16688
639	29589	16643
640	29633	16596
641	29684	16552
642	29729	16506
643	29778	16461
644	29829	16417
645	29879	16373
646	29929	16329
647	29979	16285
648	30024	16238
649	30070	16191
650	30120	16147
651	30162	16099
652	30205	16051
653	30257	16007
654	30305	15962
655	30348	15914
656	30395	15868
657	30441	15822
658	30492	15778
659	30536	15730
660	30579	15683
661	30622	15635
662	30672	15590
663	30721	15545
664	30770	15500
665	30813	15453
666	30858	15406
667	30906	15360
668	30953	15314
669	31002	15269
670	31045	15221
671	31095	15177
672	31141	15131
673	31190	15086
674	31233	15038
675	31283	14993
676	31330	14948
677	31379	14902
678	31424	14855
679	31475	14811
680	31522	14766
681	31565	14718
682	31611	14671
683	31659	14626
684	31703	14578
685	31753	14534
686	31803	14489
687	31845	14441
688	31888	14393
