iter	MultiClass
0	1.614938695
1	1.493723283
2	1.393547806
3	1.305100589
4	1.234482491
5	1.176786786
6	1.126893854
7	1.085038213
8	1.04241921
9	1.008671627
10	0.9792454959
11	0.9553979467
12	0.9260517816
13	0.902360441
14	0.8789660004
15	0.860245523
16	0.8365245405
17	0.8163298591
18	0.7962651052
19	0.7796788921
20	0.7639370637
21	0.7521463702
22	0.7414685031
23	0.7252683493
24	0.7091207078
25	0.6922879962
26	0.6811754501
27	0.6680459726
28	0.6612733711
29	0.6523165548
30	0.6441784347
31	0.6385965037
32	0.6301179734
33	0.6210169382
34	0.6136862636
35	0.6043109761
36	0.5978242755
37	0.5910790822
38	0.5856030088
39	0.5786411007
40	0.5751570638
41	0.5681980303
42	0.5612691088
43	0.553530225
44	0.5476009564
45	0.5399597475
46	0.5314946863
47	0.5258925932
48	0.5201753402
49	0.5164066606
50	0.5106814824
51	0.5068454605
52	0.4992136628
53	0.4927763566
54	0.4882845686
55	0.4857382465
56	0.481702501
57	0.4780557821
58	0.473897788
59	0.4696770649
60	0.4666001995
61	0.4608866595
62	0.4565016486
63	0.4541933995
64	0.4514821056
65	0.4483438493
66	0.4457563478
67	0.4432569165
68	0.4401806455
69	0.4369834307
70	0.432756522
71	0.4292560701
72	0.4240604508
73	0.4214282758
74	0.4187917492
75	0.4154216263
76	0.4128025451
77	0.4099049759
78	0.4075805504
79	0.4046130805
80	0.4023387753
81	0.3986000382
82	0.3964116726
83	0.3941796985
84	0.3889043507
85	0.3856758556
86	0.3837807731
87	0.3812392895
88	0.3792714938
89	0.3773237843
90	0.3760738083
91	0.3747363801
92	0.3734749685
93	0.3724266554
94	0.3704505747
95	0.367399827
96	0.3640262338
97	0.3601264442
98	0.3574595866
99	0.3549455538
100	0.353343227
101	0.3519550239
102	0.3494506952
103	0.3475676333
104	0.3460055702
105	0.3445225326
106	0.3409531633
107	0.3379526596
108	0.3359024275
109	0.3337604134
110	0.3316771897
111	0.3304316586
112	0.328473013
113	0.3280380256
114	0.3259820075
115	0.3237665537
116	0.3216539454
117	0.3206296859
118	0.3189537601
119	0.3170778139
120	0.3150483471
121	0.3128913998
122	0.3113686595
123	0.31022097
124	0.3082563155
125	0.3059461079
126	0.3041796139
127	0.3028948528
128	0.3013840806
129	0.2985074623
130	0.2964738333
131	0.2956013691
132	0.2945493326
133	0.2937244226
134	0.2925981025
135	0.2913632809
136	0.290505486
137	0.2882398805
138	0.2872664437
139	0.2864339133
140	0.2845779622
141	0.2820638585
142	0.2801906234
143	0.2786928791
144	0.2772611375
145	0.2759290027
146	0.2747344592
147	0.2732792759
148	0.2721380989
149	0.2712754308
150	0.269412467
151	0.2679810005
152	0.2669950444
153	0.2654548976
154	0.26437598
155	0.2620962085
156	0.2607083221
157	0.2597960703
158	0.2580436454
159	0.2572024332
160	0.2557112218
161	0.2553001348
162	0.2544125755
163	0.2534369585
164	0.2524153947
165	0.2509200303
166	0.2499791201
167	0.2489703493
168	0.2477120252
169	0.246120929
170	0.2451492125
171	0.2441393984
172	0.2434921766
173	0.2427846958
174	0.2412324991
175	0.240541597
176	0.2397943516
177	0.2392634806
178	0.2375521368
179	0.2364613543
180	0.2355280009
181	0.2347882063
182	0.233456639
183	0.2329874208
184	0.2323427879
185	0.2303310222
186	0.2287414718
187	0.2280303071
188	0.2275419451
189	0.2266921893
190	0.2258073824
191	0.2253470186
192	0.2241284283
193	0.2229216992
194	0.2215768823
195	0.2196662794
